addressCity,addressState,area,baths,beds,latitude,longitude,price
San Diego,CA,700,1.0,1,32.763108,-117.123757,"$1,500/mo"
San Diego,CA,,1.0,1,32.756512,-117.084525,"$1,450+/mo"
San Diego,CA,,,,32.795246,-117.239699,
San Diego,CA,1436,2.5,3,32.945323,-117.228566,"$3,750/mo"
San Diego,CA,1628,2.5,3,32.768869,-117.15598,"$2,750/mo"
San Diego,CA,,,,32.751077,-117.163605,
San Diego,CA,,,,32.769334,-117.087465,
San Diego,CA,2700,4.0,7,32.768144,-117.073097,"$6,300/mo"
San Diego,CA,,,,32.759296,-117.118534,
San Diego,CA,,,,32.709781,-117.156173,
San Diego,CA,,1.0,2,32.751714,-117.143407,"$1,895/mo"
San Diego,CA,1915,1.5,3,32.850989,-117.221472,"$3,475/mo"
San Diego,CA,650,1.0,1,32.756605,-117.120345,"$1,595/mo"
San Diego,CA,,1.0,2,32.700996,-117.108871,"$1,550/mo"
San Diego,CA,560,1.0,1,32.758707,-117.104692,"$1,495/mo"
San Diego,CA,1841,2.0,2,32.800846,-117.232856,"$3,900/mo"
San Diego,CA,,,,32.711002,-117.166344,
La Jolla,CA,2541,2.5,3,32.815379,-117.250535,"$5,500/mo"
San Diego,CA,669,1.0,1,32.798971,-117.092795,"$1,495/mo"
Del Mar,CA,1284,2.0,3,32.955376,-117.251402,"$4,950/mo"
San Diego,CA,,,,32.949451,-117.232037,
San Diego,CA,2101,2.5,2,32.865983,-117.206724,"$3,795/mo"
San Diego,CA,,,,32.867936,-117.22541,
San Diego,CA,,,,32.949081,-117.230511,
San Diego,CA,650,1.0,2,32.751243,-117.175034,"$1,600/mo"
San Diego,CA,794,1.5,2,32.758685,-117.068614,"$1,850/mo"
San Diego,CA,,1.0,2,32.762124,-117.147929,"$1,795/mo"
San Diego,CA,750,1.0,2,32.706978,-117.132256,"$2,020/mo"
San Diego,CA,,,,32.708138,-117.13929,
San Diego,CA,1883,2.0,2,32.727981,-117.110558,"$2,500/mo"
San Diego,CA,,1.0,1,32.76018,-117.08895,"$1,450/mo"
San Diego,CA,,,,32.936237,-117.224774,
San Diego,CA,2571,3.0,5,32.957948,-117.130826,"$3,200/mo"
San Diego,CA,,2.0,2,32.742222,-117.249794,"$1,995/mo"
San Diego,CA,750,1.0,1,32.735563,-117.25317,"$1,650/mo"
La Jolla,CA,2268,2.5,4,32.82048,-117.23517,"$4,950/mo"
San Diego,CA,1000,2.0,2,32.824379,-117.207,"$2,400/mo"
San Diego,CA,1052,2.0,2,32.92084,-117.11401,"$2,400/mo"
San Diego,CA,,,,32.721083,-117.166068,
San Diego,CA,832,1.0,2,32.744584,-117.144197,"$1,850/mo"
San Diego,CA,700,1.0,1,32.749643,-117.24985,"$2,995/mo"
San Diego,CA,650,1.0,1,32.738745,-117.228253,"$1,450/mo"
San Diego,CA,,1.0,2,32.788902,-117.204405,"$1,825/mo"
San Diego,CA,1934,2.5,3,33.011257,-117.078083,"$3,295/mo"
San Diego,CA,946,2.0,2,32.93764,-117.094079,"$2,395/mo"
San Diego,CA,,,,32.728734,-117.166942,
San Diego,CA,,1.0,1,32.756043,-117.099449,"$1,350/mo"
San Diego,CA,748,1.0,2,32.753192,-117.135467,"$2,150/mo"
San Diego,CA,,1.0,0,32.720658,-117.236101,"$1,295/mo"
San Diego,CA,960,2.0,2,32.810229,-117.255231,"$2,400/mo"
San Diego,CA,1471,2.5,2,32.736832,-117.159719,"$3,195/mo"
San Diego,CA,1280,2.0,2,33.008423,-117.06805,"$2,575/mo"
San Diego,CA,,1.0,2,32.79468,-117.124218,"$1,850/mo"
San Diego,CA,700,1.0,2,32.795536,-117.247198,"$2,095/mo"
San Diego,CA,,,,32.756883,-117.090814,
San Diego,CA,,,,32.795219,-117.123531,
San Diego,CA,,,,32.789634,-117.202579,
San Diego,CA,1176,2.0,3,32.717204,-117.10656,"$2,855/mo"
San Diego,CA,1700,2.0,4,32.770055,-117.081759,"$3,625/mo"
San Diego,CA,600,1.0,1,32.761409,-117.12208,"$1,350/mo"
San Diego,CA,1134,2.0,3,32.923606,-117.155297,"$2,750/mo"
San Diego,CA,1260,2.5,2,32.77872,-117.180309,"$2,975/mo"
San Diego,CA,1050,2.0,3,32.7584,-117.137243,"$2,395/mo"
San Diego,CA,600,1.0,1,32.83466,-117.176916,"$1,550/mo"
San Diego,CA,1533,2.5,3,32.945808,-117.235271,"$3,400/mo"
San Diego,CA,,,,32.752772,-117.111481,
San Diego,CA,1068,2.0,2,32.840817,-117.082705,"$2,395/mo"
San Diego,CA,1100,1.0,2,32.7611,-117.249491,"$3,000/mo"
San Diego,CA,,1.0,2,32.72693,-117.227944,"$1,950/mo"
San Diego,CA,1211,2.5,2,33.02378,-117.110436,"$2,550/mo"
San Diego,CA,535,1.0,1,32.749043,-117.156659,"$1,850/mo"
San Diego,CA,,,,32.869011,-117.226042,
San Diego,CA,500,6.0,0,32.75374,-117.097409,$950/mo
San Diego,CA,800,1.0,2,32.738811,-117.095785,"$2,100/mo"
San Diego,CA,600,1.0,1,32.75374,-117.097301,"$1,300/mo"
San Diego,CA,,,,32.743609,-117.130234,
San Diego,CA,987,2.0,2,32.797656,-117.191228,"$1,995/mo"
San Diego,CA,,,,32.729481,-117.168223,
San Diego,CA,,,,32.704256,-117.112359,
San Diego,CA,1150,2.0,3,32.777214,-117.175098,"$2,695/mo"
San Diego,CA,700,1.0,1,32.804229,-117.221417,"$1,650/mo"
San Diego,CA,,,,32.709724,-117.154188,
San Diego,CA,,,,32.723756,-117.159715,
San Diego,CA,,,,32.71123,-117.155868,
San Diego,CA,,,,32.803472,-117.233173,
San Diego,CA,,,,32.858838,-117.20737,
San Diego,CA,650,1.0,1,32.806933,-117.222084,"$1,600/mo"
San Diego,CA,600,1.0,2,32.791038,-117.240161,"$2,195/mo"
San Diego,CA,,,,32.571396,-117.079913,
San Diego,CA,1050,1.0,2,32.747025,-117.143382,"$2,595/mo"
San Diego,CA,1156,2.0,3,32.744173,-117.127462,"$2,450/mo"
San Diego,CA,650,1.0,1,32.943863,-117.232182,"$2,000/mo"
San Diego,CA,,,,32.976557,-117.071371,
San Diego,CA,1171,1.5,2,32.770508,-117.181585,"$2,095/mo"
San Diego,CA,,1.0,2,32.746304,-117.11341,"$1,750/mo"
San Diego,CA,800,1.0,2,32.787337,-117.237216,"$2,195/mo"
San Diego,CA,,1.0,1,32.712961,-117.06759,"$1,290/mo"
San Diego,CA,1200,2.0,2,32.768438,-117.086091,"$1,950/mo"
San Diego,CA,,,,32.718457,-117.1399,
San Diego,CA,,,,32.747971,-117.127465,
San Diego,CA,,1.0,1,32.75087,-117.098407,"$1,300+/mo"
San Diego,CA,,1.0,1,32.724263,-117.133579,"$1,600+/mo"
San Diego,CA,1274,2.5,2,32.929586,-117.199747,"$3,095/mo"
San Diego,CA,625,1.0,1,32.752096,-117.122095,"$1,495/mo"
San Diego,CA,,,,32.869166,-117.225837,
San Diego,CA,,,,32.758636,-117.117084,
San Diego,CA,3090,1.0,2,32.803901,-117.24154,"$1,850/mo"
San Diego,CA,600,1.0,1,32.797919,-117.239036,"$1,695/mo"
San Diego,CA,2000,3.0,4,32.722308,-117.114004,"$3,200/mo"
San Diego,CA,600,1.0,1,32.79419,-117.123223,"$1,595/mo"
San Diego,CA,,,,32.754663,-117.149113,
San Diego,CA,1458,2.5,3,32.720878,-117.166519,"$3,999/mo"
San Diego,CA,,,,32.720762,-117.157164,
San Diego,CA,,1.0,1,32.797742,-117.246984,"$1,650/mo"
San Diego,CA,800,1.0,2,32.750943,-117.241768,"$2,295/mo"
San Diego,CA,,1.0,2,32.798468,-117.25652,"$2,495/mo"
San Diego,CA,1300,2.5,3,32.74328,-117.25151,"$3,395/mo"
San Diego,CA,770,2.0,2,32.762101,-117.128604,"$2,250/mo"
San Diego,CA,,1.0,3,32.790425,-117.254042,"$2,895/mo"
San Diego,CA,1092,2.0,2,32.772565,-117.174191,"$2,600/mo"
San Diego,CA,2419,3.5,3,32.74573,-117.18162,"$6,250/mo"
San Diego,CA,1100,2.0,3,32.727666,-117.11501,"$3,600/mo"
San Diego,CA,,,,32.588147,-117.029837,
San Diego,CA,1203,2.0,2,32.811737,-117.251185,"$4,500/mo"
San Diego,CA,1284,2.5,3,32.753773,-117.120844,"$3,300/mo"
La Jolla,CA,,,,32.842681,-117.272976,
